"unique_id","meanRR","Lat_Coordinates","Long_Coordinates"
1,-0.299001374788946,49.06667,13.68333
4,-0.446441044281516,41.8625,-100.368
5,-0.396977024335111,41.184,28.9885
6,-0.234842440278007,55.16667,-2.05
8,-0.0868535093086564,35.05,-83.45
9,-0.0777926295181963,35.05,-83.4167
10,-1.22470415954905,37.68517,-119.548
12,0.35297951760652,46.5,-91.0333
16,0.312925894310048,11.44158,1.216028
17,-0.340230015586113,55,-112
18,0.0232882283504912,24.67339,121.5837
19,-0.529000882900764,11.5,107.3333
20,-0.0810614744764691,39.4145546,-76.51804352
23,0.122147306616783,36.96667,-119.033
24,0.414967750508054,37.8834,14.0167
27,-0.270064169391871,46.4341667,14.17333306
28,0.245122458032985,46.4341667,14.17333306
30,0.289211958797294,-24.17,21.89
31,0.0812699819592995,-6.35889,-39.2989
32,-0.203364609386529,53.13333,13.03333
36,0.139553981555099,45.55,13.91667
40,-0.0234347431434574,35.2714,-111.816
41,1.87277569903301,47.15,18.15
42,1.16829148187738,41.4801166,-71.5227103
43,-0.224027728996082,42.2,1.816667
45,-0.47263667924188,47.18056,128.8889
48,-0.0183379526987425,45.823,-121.8522
51,-0.330816104610552,46.62139,7.265
55,0.0919317811883991,44.35,142.2667
56,-0.370139905779609,35.575,139.5183
61,-0.121093128463456,60.66667,26.1
64,-0.350546189013231,19.1602864,109.6288914
69,0.533248636495261,33.7,107.65
70,-0.538362185436553,38.438,-120.968
71,-0.131691630954957,36.96667,-119.033
73,0.251140904583426,27.9,86.36667
74,0.307730292169027,45.46021,7.29055
76,-0.34322271390024,-2.1138,-78.3558
77,0.00370829882752479,38.55,16.31667
78,-0.100709138068139,-32.11,-60.57
79,-0.00327870027307953,-5.83333,36
82,-0.146064128474685,41.5,-81.6667
84,-0.187411739996524,55.7282,-3.2078
85,-0.903938325527545,-5.333333,-79.533333
87,-0.284637676192606,43.2961743,5.3699525
89,0.187817375275789,5.257,-72.889
90,-0.0250013022054173,40.48507,-106.99119
92,-0.0488554138264738,39.2908816,-76.610759
94,0.140007552102538,27.5514,116.0354
95,-0.00803994307431635,43.08333,142.8167
98,-0.0559350702521473,49.80814,5.80805
99,-0.554925354196492,45.62348,-90.7855
103,-0.0417489390792864,9.7836963,-83.4992864
104,-0.0912442606707373,-5.3,-60.0667
108,-0.0212233875743223,37.73333,112.3667
110,0.0404638553221997,18.885,108.973
111,0.0355614772836435,35.33333,107.5167
113,-0.258677180822056,0.216667,30.31667
115,-0.163223369680778,35.05,108.1667
116,-0.0434655677422411,35.05,108.1667
117,-0.207390787686001,21.474,110.9
