"","Place_ID","unique_id","title","authors","pub_year","journal","study_site","moisture_type_DELETE.","moisture_type_consistent","moisture_units","moisture_open","moisture_forest","measurement_depth_DELETE.","Depth_lowerRange","Depth_upperRange","Average_Depth","Depth_Units","mat_deg_c","map_mm","Lat_degrees","Lat_Minutes","Lat_Seconds","Direction","Lat_Coordinates","Long_degrees","Long_Minutes","Long_Seconds","Direction.1","Long_Coordinates","moisture_open_proportion","moisture_forest_proportion"
"1",1,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3005,0.2353,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3005,0.2353
"2",2,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3549,0.2448,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3549,0.2448
"3",3,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.3052,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3708,0.3052
"4",4,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.2888,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3708,0.2888
"5",5,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3644,0.2639,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3644,0.2639
"6",6,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3005,0.2136,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3005,0.2136
"7",7,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3549,0.2245,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3549,0.2245
"8",8,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.2956,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3708,0.2956
"9",9,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3708,0.2765,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3708,0.2765
"10",10,1,"Influence of vegetation type and soil properties on soil water dynamics in the Å umava Mountains (Southern Bohemia)","Å Ã­pek, V.; Hnilica, J.; VlÄek, L.; HnilicovÃ¡, S.; TesaÅ™, M.",2020,"Journal of Hydrology","Liz experimental catchment","Volumtetric soil moisture content","VSWC","cm^3/cm^3",0.3644,0.2734,"15, 30, 45, 60 and 90 cm","15",90,52.5,"cm",6.6,863,49,4,NA,"N",49.06667,13,41,NA,"E",13.68333,0.3644,0.2734
